filename,Class,q_CEN2_All_K6.aln2_Cluster1.fa,q_CEN2_All_K6.aln2_Cluster2.fa,q_CEN2_All_K6.aln2_Cluster3.fa,q_CEN2_All_K6.aln2_Cluster4.fa,q_CEN2_All_K6.aln2_Cluster5.fa,q_CEN2_All_K6.aln2_Cluster6.fa
SML_30_merged.fa,Unique,48204,27309,41552,92626,3680,13783
SML_30_merged.fa,Multi,17650,12988,8036,16888,1840,1987
SML_26_merged.fa,Unique,1533369,933270,220995,3674099,2080,8499
SML_26_merged.fa,Multi,487686,428405,194328,504837,1496,1482
SML_25_merged.fa,Unique,2259995,1379833,447000,5422881,2991,9747
SML_25_merged.fa,Multi,833763,696174,324084,853721,1668,1557
SML_22_merged.fa,Unique,51167,30125,44087,102023,5175,20203
SML_22_merged.fa,Multi,18529,14561,8895,17907,2724,3052
SML_21_merged.fa,Unique,469079,282183,419609,948725,4969,17453
SML_21_merged.fa,Multi,136096,139681,92972,144871,2727,2680
SML_23_merged.fa,Unique,1583764,972384,338953,3850520,3018,10516
SML_23_merged.fa,Multi,604161,507017,239373,617508,1504,1519
SML_29_merged.fa,Unique,305463,179185,292191,623294,5463,17515
SML_29_merged.fa,Multi,96642,78456,50943,94633,2966,2812
SML_20_merged.fa,Unique,420988,250874,428587,854229,9706,31148
SML_20_merged.fa,Multi,132048,109209,71404,128894,5479,5287
SML_28_merged.fa,Unique,35531,20059,29868,68587,3139,11738
SML_28_merged.fa,Multi,12463,10088,6107,12092,1643,1879
SML_27_merged.fa,Unique,525131,315598,482457,1052969,6123,21121
SML_27_merged.fa,Multi,147485,156404,105025,157339,3469,3313
