filename,Class,q_CEN2_All_K6.aln2_Cluster1.fa,q_CEN2_All_K6.aln2_Cluster2.fa,q_CEN2_All_K6.aln2_Cluster3.fa,q_CEN2_All_K6.aln2_Cluster4.fa,q_CEN2_All_K6.aln2_Cluster5.fa,q_CEN2_All_K6.aln2_Cluster6.fa
SML_16_merged.fa,Unique,178504,105266,144163,357661,1664,6227
SML_16_merged.fa,Multi,54473,52289,36334,57262,883,777
SML_18_merged.fa,Unique,1105071,697329,130556,2649519,821,2667
SML_18_merged.fa,Multi,345246,295161,128235,358586,401,380
SML_17_merged.fa,Unique,886166,541264,96491,2162413,596,2057
SML_17_merged.fa,Multi,294774,245180,108239,305688,299,287
SML_14_merged.fa,Unique,69465,49054,74324,148442,1648,7124
SML_14_merged.fa,Multi,20542,22332,15667,20926,661,687
SML_13_merged.fa,Unique,14581,8399,13739,26946,373,1333
SML_13_merged.fa,Multi,4815,3533,2405,4726,145,126
SML_10_merged.fa,Unique,115951,69696,121684,216979,3868,11592
SML_10_merged.fa,Multi,37676,33272,22966,38297,1858,1807
SML_19_merged.fa,Unique,37289,22754,20624,82046,451,1638
SML_19_merged.fa,Multi,12560,10416,5952,12737,194,175
SML_03_merged.fa,Unique,18356,10994,17952,33974,550,2148
SML_03_merged.fa,Multi,5299,4478,3039,5073,195,163
SML_12_merged.fa,Unique,62404,36072,50080,122826,1073,4080
SML_12_merged.fa,Multi,20896,16205,10608,20727,562,540
SML_11_merged.fa,Unique,295261,177634,274962,584252,3975,12923
SML_11_merged.fa,Multi,87114,88234,59986,92443,2109,2023
