filename,Class,q_CEN2_All_K6.aln2_Cluster1.fa,q_CEN2_All_K6.aln2_Cluster2.fa,q_CEN2_All_K6.aln2_Cluster3.fa,q_CEN2_All_K6.aln2_Cluster4.fa,q_CEN2_All_K6.aln2_Cluster5.fa,q_CEN2_All_K6.aln2_Cluster6.fa
SML_38_merged.fa,Unique,60248,34687,53027,120684,1121,4675
SML_38_merged.fa,Multi,20450,16162,10635,19783,640,632
SML_25_merged.fa,Unique,2259995,1379833,447000,5422881,2991,9747
SML_25_merged.fa,Multi,833763,696174,324084,853721,1668,1557
SML_18_merged.fa,Unique,1105071,697329,130556,2649519,821,2667
SML_18_merged.fa,Multi,345246,295161,128235,358586,401,380
SML_17_merged.fa,Unique,886166,541264,96491,2162413,596,2057
SML_17_merged.fa,Multi,294774,245180,108239,305688,299,287
SML_14_merged.fa,Unique,69465,49054,74324,148442,1648,7124
SML_14_merged.fa,Multi,20542,22332,15667,20926,661,687
SML_23_merged.fa,Unique,1583764,972384,338953,3850520,3018,10516
SML_23_merged.fa,Multi,604161,507017,239373,617508,1504,1519
SML_19_merged.fa,Unique,37289,22754,20624,82046,451,1638
SML_19_merged.fa,Multi,12560,10416,5952,12737,194,175
SML_40_merged.fa,Unique,1684760,941830,381064,4122174,2198,8626
SML_40_merged.fa,Multi,572412,497523,269680,607321,1189,1279
SML_43_merged.fa,Unique,158034,90923,133169,331232,2273,9810
SML_43_merged.fa,Multi,55881,49028,31483,56656,1391,1399
SML_39_merged.fa,Unique,1494313,832618,331334,3635140,1987,7385
SML_39_merged.fa,Multi,506041,440934,238927,537735,1147,1172
SML_37_merged.fa,Unique,305653,185058,258010,616560,5364,21703
SML_37_merged.fa,Multi,90161,96665,63483,96506,3119,3213
