filename,Class,q_CEN2_All_K6.aln2_Cluster1.fa,q_CEN2_All_K6.aln2_Cluster2.fa,q_CEN2_All_K6.aln2_Cluster3.fa,q_CEN2_All_K6.aln2_Cluster4.fa,q_CEN2_All_K6.aln2_Cluster5.fa,q_CEN2_All_K6.aln2_Cluster6.fa
SML_16_merged.fa,Unique,200743,108597,168324,292884,2698,6886
SML_16_merged.fa,Multi,81270,135112,121897,59388,3065,2555
SML_18_merged.fa,Unique,1240272,688609,244992,2067938,3380,3009
SML_18_merged.fa,Multi,552456,950477,812521,378991,3329,1341
SML_17_merged.fa,Unique,978006,531424,186340,1697270,2457,2329
SML_17_merged.fa,Multi,458947,757277,649668,322032,2675,986
SML_14_merged.fa,Unique,79659,53149,88101,112673,2449,8083
SML_14_merged.fa,Multi,32385,60960,55505,21609,1994,1923
SML_13_merged.fa,Unique,17043,9291,16256,19210,510,1464
SML_13_merged.fa,Multi,6439,8885,7837,4601,485,385
SML_10_merged.fa,Unique,133595,73379,140193,171303,4886,12823
SML_10_merged.fa,Multi,54897,85908,76299,39615,5111,4214
SML_19_merged.fa,Unique,42104,23526,25832,64498,646,1832
SML_19_merged.fa,Multi,18765,28924,25200,13395,634,528
SML_03_merged.fa,Unique,21207,12124,21282,24838,776,2404
SML_03_merged.fa,Multi,7311,11507,10144,5074,583,446
SML_12_merged.fa,Unique,71778,38209,59359,95130,1573,4586
SML_12_merged.fa,Multi,29911,43474,38419,21438,1648,1406
SML_11_merged.fa,Unique,333550,183754,317183,468533,5828,14168
SML_11_merged.fa,Multi,133208,226227,202483,96773,6954,6025
